兴业银行	601166	0.00	0.00	21.15	1.20	24.96	1.42	18.04	21.28	17.59	18.80	17.28	18.89	21.21	22.39	26.65	24.62	24.43	
民生银行	600016	0.00	0.00	10.10	1.06	12.81	1.35	15.93	20.20	9.51	16.72	15.13	16.98	20.41	23.23	25.24	23.95	18.29	
招商银行	600036	0.00	0.00	52.24	3.13	22.36	1.34	46.98	20.11	16.68	77.68	16.27	17.09	19.28	23.12	24.78	24.17	21.75	
工商银行	601398	0.00	0.00	5.65	1.03	7.08	1.30	15.52	19.45	5.46	15.80	15.24	17.10	19.96	21.92	23.02	23.44	22.79	
长安汽车	000625	0.00	0.00	15.39	1.61	16.02	1.67	24.12	25.12	9.57	21.44	26.81	33.14	34.20	21.77	9.66	6.86	20.39	
格力电器	000651	0.00	0.00	18.97	1.97	20.54	2.13	29.59	32.02	9.62	28.76	30.41	27.31	35.23	35.77	31.38	34.00	36.51	
伊利股份	600887	0.00	0.00	7.55	1.85	6.70	1.64	27.77	24.65	4.08	28.96	26.58	23.87	23.66	23.15	25.97	35.33	20.28	
保利地产	600048	0.00	0.00	6.14	0.80	10.33	1.34	11.96	20.12	7.70	8.40	15.53	18.63	21.65	22.95	21.84	20.20	18.02	
